Category ID,Category Name (EN),Term ID (blank = category name row),Italian (reference),English (source),YOUR LANGUAGE
framing,Framing,,Inquadratura,Framing,
framing,Framing,fr_extreme_closeup,Primissimo piano,Extreme close-up,
framing,Framing,fr_closeup,Primo piano,Close-up,
framing,Framing,fr_detail,Dettaglio,Detail shot,
framing,Framing,fr_head_shoulders,Testa e spalle,Head-and-shoulders shot,
framing,Framing,fr_bust,Mezzo busto,Bust shot,
framing,Framing,fr_medium_closeup,Mezza figura,Medium close-up,
framing,Framing,fr_medium,Piano medio,Medium shot,
framing,Framing,fr_american,Piano americano,American shot,
framing,Framing,fr_full,Figura intera,Full shot,
framing,Framing,fr_full_length_portrait,Ritratto a figura intera,Full-length portrait,
framing,Framing,fr_wide,Campo lungo,Wide shot,
framing,Framing,fr_extreme_wide,Campo lunghissimo,Extreme wide shot,
framing,Framing,fr_establishing,Campo d'insieme,Establishing shot,
framing,Framing,fr_panoramic,Vista panoramica,Panoramic view,
framing,Framing,fr_two_shot,Inquadratura a due,Two shot,
framing,Framing,fr_group,Inquadratura di gruppo,Group shot,
framing,Framing,fr_lone_in_landscape,Figura isolata nel paesaggio,Lone figure in a vast landscape,
framing,Framing,fr_cropped,Soggetto tagliato dal bordo,Cropped subject,
camera_angle,Camera Angle & Viewpoint,,Angolazione e punto di vista,Camera Angle & Viewpoint,
camera_angle,Camera Angle & Viewpoint,ca_eye_level,Ad altezza occhi,Eye level,
camera_angle,Camera Angle & Viewpoint,ca_low_angle,Ripresa dal basso,Low angle,
camera_angle,Camera Angle & Viewpoint,ca_extreme_low,Ripresa dal basso estrema,Extreme low angle,
camera_angle,Camera Angle & Viewpoint,ca_worms_eye,Vista dal suolo,Worm's eye view,
camera_angle,Camera Angle & Viewpoint,ca_high_angle,Ripresa dall'alto,High angle,
camera_angle,Camera Angle & Viewpoint,ca_birdseye,Vista a volo d'uccello,Bird's eye view,
camera_angle,Camera Angle & Viewpoint,ca_top_down,Vista zenitale (flat lay),Top-down view,
camera_angle,Camera Angle & Viewpoint,ca_aerial,Ripresa aerea,Aerial view,
camera_angle,Camera Angle & Viewpoint,ca_drone,Vista da drone,Drone view,
camera_angle,Camera Angle & Viewpoint,ca_dutch,Angolazione obliqua,Dutch angle,
camera_angle,Camera Angle & Viewpoint,ca_over_shoulder,Da sopra la spalla,Over-the-shoulder view,
camera_angle,Camera Angle & Viewpoint,ca_pov,Soggettiva (prima persona),First-person POV,
camera_angle,Camera Angle & Viewpoint,ca_front,Di fronte,Front view,
camera_angle,Camera Angle & Viewpoint,ca_profile,Di profilo,Profile view,
camera_angle,Camera Angle & Viewpoint,ca_three_quarter,Di tre quarti,Three-quarter view,
camera_angle,Camera Angle & Viewpoint,ca_rear,Di spalle,Rear view,
composition,Composition,,Composizione,Composition,
composition,Composition,co_rule_of_thirds,Regola dei terzi,Rule of thirds,
composition,Composition,co_golden_ratio,Sezione aurea,Golden ratio composition,
composition,Composition,co_fibonacci,Spirale di Fibonacci,Fibonacci spiral composition,
composition,Composition,co_symmetry,Simmetria,Symmetrical composition,
composition,Composition,co_asymmetric,Equilibrio asimmetrico,Asymmetrical balance,
composition,Composition,co_centered,Composizione centrale,Centered composition,
composition,Composition,co_off_center,Soggetto decentrato,Off-center subject,
composition,Composition,co_triangular,Composizione triangolare,Triangular composition,
composition,Composition,co_diagonal,Composizione diagonale,Diagonal composition,
composition,Composition,co_s_curve,Linea a S,S-curve composition,
composition,Composition,co_radial,Composizione radiale,Radial composition,
composition,Composition,co_grid,Composizione a griglia,Grid composition,
composition,Composition,co_leading_lines,Linee guida,Leading lines,
composition,Composition,co_negative_space,Spazio negativo,Negative space,
composition,Composition,co_frame_in_frame,Cornice nella cornice,Frame within a frame,
composition,Composition,co_layered,Composizione stratificata,Layered composition,
composition,Composition,co_repetition,Ripetizione e pattern,Repetition and pattern,
composition,Composition,co_juxtaposition,Accostamento contrastante,Juxtaposition,
composition,Composition,co_high_horizon,Orizzonte alto,High horizon line,
composition,Composition,co_low_horizon,Orizzonte basso,Low horizon line,
composition,Composition,co_full_bleed,"Al vivo, senza margini",Full-bleed composition,
composition,Composition,co_knolling,Disposizione ordinata (knolling),Knolling,
composition,Composition,co_isometric,Proiezione isometrica,Isometric projection,
composition,Composition,co_axonometric,Proiezione assonometrica,Axonometric projection,
composition,Composition,co_one_point,Prospettiva centrale,One-point perspective,
composition,Composition,co_forced_perspective,Prospettiva forzata,Forced perspective,
lens_focus,"Lens, Focal Length & Focus",,"Obiettivo, focale e fuoco","Lens, Focal Length & Focus",
lens_focus,"Lens, Focal Length & Focus",lf_24mm,Obiettivo 24mm,24mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_35mm,Obiettivo 35mm,35mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_50mm,Obiettivo 50mm,50mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_85mm,Obiettivo 85mm,85mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_135mm,Obiettivo 135mm,135mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_200mm,Obiettivo 200mm,200mm lens,
lens_focus,"Lens, Focal Length & Focus",lf_wide_angle,Grandangolo,Wide-angle lens,
lens_focus,"Lens, Focal Length & Focus",lf_telephoto,Teleobiettivo,Telephoto lens,
lens_focus,"Lens, Focal Length & Focus",lf_fisheye,Fisheye,Fisheye lens,
lens_focus,"Lens, Focal Length & Focus",lf_macro,Macro,Macro lens,
lens_focus,"Lens, Focal Length & Focus",lf_anamorphic,Anamorfico,Anamorphic lens,
lens_focus,"Lens, Focal Length & Focus",lf_tilt_shift,Tilt-shift,Tilt-shift lens,
lens_focus,"Lens, Focal Length & Focus",lf_miniature,Effetto miniatura,Miniature effect,
lens_focus,"Lens, Focal Length & Focus",lf_wide_aperture,Diaframma aperto f/1.4,Wide aperture f/1.4,
lens_focus,"Lens, Focal Length & Focus",lf_narrow_aperture,Diaframma chiuso f/16,Narrow aperture f/16,
lens_focus,"Lens, Focal Length & Focus",lf_shallow_dof,Profondita di campo ridotta,Shallow depth of field,
lens_focus,"Lens, Focal Length & Focus",lf_deep_dof,Profondita di campo estesa,Deep depth of field,
lens_focus,"Lens, Focal Length & Focus",lf_selective_focus,Fuoco selettivo,Selective focus,
lens_focus,"Lens, Focal Length & Focus",lf_soft_focus,Fuoco morbido,Soft focus,
lens_focus,"Lens, Focal Length & Focus",lf_out_of_focus,Fuori fuoco,Out of focus,
lens_focus,"Lens, Focal Length & Focus",lf_bokeh,Bokeh,Bokeh,
lens_focus,"Lens, Focal Length & Focus",lf_foreground_blur,Sfocato in primo piano,Foreground blur,
lens_focus,"Lens, Focal Length & Focus",lf_split_diopter,Split diopter,Split diopter,
lens_focus,"Lens, Focal Length & Focus",lf_compression,Compressione da tele,Long-lens compression,
lens_focus,"Lens, Focal Length & Focus",lf_chromatic_aberration,Aberrazione cromatica,Chromatic aberration,
lens_focus,"Lens, Focal Length & Focus",lf_barrel_distortion,Distorsione a barile,Barrel distortion,
lens_focus,"Lens, Focal Length & Focus",lf_vignetting,Vignettatura ottica,Lens vignetting,
lens_focus,"Lens, Focal Length & Focus",lf_motion_blur,Mosso,Motion blur,
light_source,Light Source,,Sorgente luminosa,Light Source,
light_source,Light Source,ls_natural,Luce naturale,Natural light,
light_source,Light Source,ls_daylight,Luce diurna,Daylight,
light_source,Light Source,ls_golden_hour,Ora dorata,Golden hour light,
light_source,Light Source,ls_blue_hour,Ora blu,Blue hour light,
light_source,Light Source,ls_sunset,Luce del tramonto,Sunset light,
light_source,Light Source,ls_sunrise,Luce dell'alba,Dawn light,
light_source,Light Source,ls_midday,Sole a picco,Harsh midday sun,
light_source,Light Source,ls_overcast,Luce da cielo coperto,Overcast daylight,
light_source,Light Source,ls_window,Luce da finestra,Window light,
light_source,Light Source,ls_moonlight,Luce lunare,Moonlight,
light_source,Light Source,ls_starlight,Luce stellare,Starlight,
light_source,Light Source,ls_candle,Luce di candela,Candlelight,
light_source,Light Source,ls_firelight,Luce del fuoco,Firelight,
light_source,Light Source,ls_lantern,Luce di lanterna,Lantern light,
light_source,Light Source,ls_neon,Luce al neon,Neon lighting,
light_source,Light Source,ls_colored_neon,Neon colorato,Colored neon lighting,
light_source,Light Source,ls_streetlight,Luce di lampione,Streetlight glow,
light_source,Light Source,ls_practical,Luci pratiche in scena,Practical lights,
light_source,Light Source,ls_softbox,Softbox da studio,Studio softbox light,
light_source,Light Source,ls_ring_light,Ring light,Ring light,
light_source,Light Source,ls_strobe,Flash stroboscopico,Stroboscopic light,
light_source,Light Source,ls_bioluminescence,Bioluminescenza,Bioluminescent light,
light_quality,Light Quality & Shadow,,Qualita della luce e ombre,Light Quality & Shadow,
light_quality,Light Quality & Shadow,lq_soft,Luce soffusa,Soft light,
light_quality,Light Quality & Shadow,lq_hard,Luce dura,Hard light,
light_quality,Light Quality & Shadow,lq_diffused,Luce diffusa,Diffused light,
light_quality,Light Quality & Shadow,lq_direct,Luce diretta,Direct light,
light_quality,Light Quality & Shadow,lq_ambient,Luce ambiente,Ambient light,
light_quality,Light Quality & Shadow,lq_bounced,Luce riflessa,Bounced light,
light_quality,Light Quality & Shadow,lq_volumetric,Luce volumetrica,Volumetric lighting,
light_quality,Light Quality & Shadow,lq_godrays,Raggi di luce,God rays,
light_quality,Light Quality & Shadow,lq_dappled,Luce filtrata dalle foglie,Dappled light,
light_quality,Light Quality & Shadow,lq_hazy,Luce nebbiosa,Hazy light,
light_quality,Light Quality & Shadow,lq_high_key,High key,High key lighting,
light_quality,Light Quality & Shadow,lq_low_key,Low key,Low key lighting,
light_quality,Light Quality & Shadow,lq_dramatic,Luce drammatica,Dramatic lighting,
light_quality,Light Quality & Shadow,lq_moody,Luce cupa,Moody lighting,
light_quality,Light Quality & Shadow,lq_flat,Luce piatta,Flat lighting,
light_quality,Light Quality & Shadow,lq_high_contrast,Forte contrasto luminoso,High-contrast lighting,
light_quality,Light Quality & Shadow,lq_glow,Bagliore diffuso,Ambient glow,
light_quality,Light Quality & Shadow,lq_emissive,Emissione luminosa,Emissive glow,
light_quality,Light Quality & Shadow,lq_caustics,Caustiche,Light caustics,
light_quality,Light Quality & Shadow,lq_subsurface,Diffusione sottosuperficiale,Subsurface scattering,
light_quality,Light Quality & Shadow,lq_gels,Gelatine colorate,Colored gels,
light_quality,Light Quality & Shadow,lq_hard_shadows,Ombre nette,Hard shadows,
light_quality,Light Quality & Shadow,lq_soft_shadows,Ombre morbide,Soft shadows,
light_quality,Light Quality & Shadow,lq_long_shadows,Ombre lunghe,Long shadows,
light_quality,Light Quality & Shadow,lq_cast_shadow,Ombra portata,Strong cast shadow,
light_quality,Light Quality & Shadow,lq_gobo,Ombre a motivo (gobo),Gobo patterned shadows,
light_quality,Light Quality & Shadow,lq_deep_shadows,Ombre profonde,Deep shadows,
light_quality,Light Quality & Shadow,lq_no_shadows,Senza ombre,No visible shadows,
light_scheme,Lighting Scheme,,Schema di illuminazione,Lighting Scheme,
light_scheme,Lighting Scheme,lsc_three_point,Illuminazione a tre punti,Three-point lighting,
light_scheme,Lighting Scheme,lsc_key,Luce principale,Key light,
light_scheme,Lighting Scheme,lsc_fill,Luce di riempimento,Fill light,
light_scheme,Lighting Scheme,lsc_backlight,Controluce,Backlighting,
light_scheme,Lighting Scheme,lsc_rim,Luce di contorno,Rim lighting,
light_scheme,Lighting Scheme,lsc_side,Luce laterale,Side lighting,
light_scheme,Lighting Scheme,lsc_front,Luce frontale,Front lighting,
light_scheme,Lighting Scheme,lsc_top,Luce dall'alto,Top light,
light_scheme,Lighting Scheme,lsc_uplight,Luce dal basso,Uplighting,
light_scheme,Lighting Scheme,lsc_raking,Luce radente,Raking light,
light_scheme,Lighting Scheme,lsc_rembrandt,Luce Rembrandt,Rembrandt lighting,
light_scheme,Lighting Scheme,lsc_butterfly,Luce a farfalla,Butterfly lighting,
light_scheme,Lighting Scheme,lsc_split,Luce divisa,Split lighting,
light_scheme,Lighting Scheme,lsc_loop,Luce a loop,Loop lighting,
light_scheme,Lighting Scheme,lsc_broad,Illuminazione ampia,Broad lighting,
light_scheme,Lighting Scheme,lsc_short,Illuminazione corta,Short lighting,
light_scheme,Lighting Scheme,lsc_chiaroscuro,Chiaroscuro,Chiaroscuro,
light_scheme,Lighting Scheme,lsc_silhouette,Silhouette,Silhouette,
color_palette,Color Palette,,Palette,Color Palette,
color_palette,Color Palette,cp_pastel,Pastello,Pastel palette,
color_palette,Color Palette,cp_saturated,Colori saturi,Saturated colors,
color_palette,Color Palette,cp_desaturated,Colori desaturati,Desaturated colors,
color_palette,Color Palette,cp_muted,Colori smorzati,Muted colors,
color_palette,Color Palette,cp_vibrant,Colori brillanti,Vibrant colors,
color_palette,Color Palette,cp_monochrome,Monocromatica,Monochromatic palette,
color_palette,Color Palette,cp_limited,Palette limitata,Limited palette,
color_palette,Color Palette,cp_warm,Palette calda,Warm palette,
color_palette,Color Palette,cp_cool,Palette fredda,Cool palette,
color_palette,Color Palette,cp_earth,Toni terrosi,Earth tones,
color_palette,Color Palette,cp_neutral,Palette neutra,Neutral palette,
color_palette,Color Palette,cp_dark,Palette scura,Dark palette,
color_palette,Color Palette,cp_bright,Palette chiara,Bright palette,
color_palette,Color Palette,cp_neon,Palette neon,Neon palette,
color_palette,Color Palette,cp_jewel,Toni gioiello,Jewel tones,
color_palette,Color Palette,cp_vintage,Palette vintage,Vintage palette,
color_palette,Color Palette,cp_morandi,Palette Morandi,Morandi palette,
color_palette,Color Palette,cp_bw,Bianco e nero,Black and white,
color_palette,Color Palette,cp_sepia,Seppia,Sepia tone,
color_palette,Color Palette,cp_duotone,Duotone,Duotone,
color_palette,Color Palette,cp_teal_orange,Teal e arancio,Teal and orange grade,
color_palette,Color Palette,cp_iridescent,Colori iridescenti,Iridescent colors,
color_palette,Color Palette,cp_metallic_gold,Accenti oro,Metallic gold accents,
color_palette,Color Palette,cp_gradient,Sfumatura continua,Smooth color gradient,
color_harmony,Color Harmony,,Armonia cromatica,Color Harmony,
color_harmony,Color Harmony,ch_complementary,Colori complementari,Complementary colors,
color_harmony,Color Harmony,ch_analogous,Colori analoghi,Analogous colors,
color_harmony,Color Harmony,ch_triadic,Triade cromatica,Triadic color scheme,
color_harmony,Color Harmony,ch_split_complementary,Complementari adiacenti,Split-complementary scheme,
color_harmony,Color Harmony,ch_tetradic,Tetrade cromatica,Tetradic color scheme,
color_harmony,Color Harmony,ch_high_contrast,Alto contrasto cromatico,High color contrast,
color_harmony,Color Harmony,ch_low_contrast,Basso contrasto cromatico,Low color contrast,
color_harmony,Color Harmony,ch_warm_cool,Contrasto caldo-freddo,Warm-cool contrast,
color_harmony,Color Harmony,ch_selective_color,Colore selettivo,Selective color,
color_harmony,Color Harmony,ch_flat_spot,Colori piatti a tinta unita,Flat spot colors,
color_harmony,Color Harmony,ch_two_color_riso,Due colori risograph,Two-color risograph,
color_harmony,Color Harmony,ch_cmyk_offset,Fuori registro CMYK,CMYK misregistration,
medium_paint_draw,Painting & Drawing,,Pittura e disegno,Painting & Drawing,
medium_paint_draw,Painting & Drawing,mp_oil,Pittura a olio,Oil painting,
medium_paint_draw,Painting & Drawing,mp_watercolor,Acquerello,Watercolor painting,
medium_paint_draw,Painting & Drawing,mp_acrylic,Acrilico,Acrylic painting,
medium_paint_draw,Painting & Drawing,mp_gouache,Gouache,Gouache painting,
medium_paint_draw,Painting & Drawing,mp_tempera,Tempera,Tempera painting,
medium_paint_draw,Painting & Drawing,mp_fresco,Affresco,Fresco,
