Key (do not translate),Italian (reference),English (source),YOUR LANGUAGE
aria.freeLang,lingua del testo libero,free text language,
b.d1,"lista di tag separati da virgola, l'ordine è priorità","comma-separated tag list, order is priority",
b.d2,frase descrittiva iniziale seguita da modificatori a virgola,an opening descriptive phrase followed by comma modifiers,
b.d3,"prosa naturale, frasi complete, niente liste di keyword","natural prose, complete sentences, no keyword lists",
b.d4,"richiesta in linguaggio naturale, come a un art director","a natural-language request, as if briefing an art director",
b.dialect,Dialetto,Dialect,
b.elements,ELEMENTI SCELTI (già nella variante corretta per questo modello),CHOSEN ELEMENTS (already in the right variant for this model),
b.how,COME RISPONDERE,HOW TO ANSWER,
b.how1t,"1. Scrivi UNA SOLA lista di tag in inglese separati da virgola, fra %lo e %hi tag.","1. Write ONE comma-separated tag list in English, between %lo and %hi tags.",
b.how1w,"1. Scrivi da 2 a 4 frasi brevi in inglese, non un unico blocco compresso, per un totale fra %lo e %hi parole, seguendo l'ordine degli elementi indicato sotto. Se compare un medium, uno stile o un riferimento autoriale, dedicagli una frase a sé, scritta in modo diretto e neutro (esempio: ""A 1980s cel anime illustration."") — non descriverlo mai come una fotografia o un fotogramma cinematografico (evita frasi come ""a cinematic frame from a film""), altrimenti l'effetto sparisce anche se la frase è nella posizione giusta. Conta le parole: oltre %hi la risposta è sbagliata.","1. Write 2 to 4 short sentences in English, not one dense block, totaling between %lo and %hi words, following the suggested element order below. If a medium, style, or artist reference appears, give it its own plain, direct sentence (example: ""A 1980s cel anime illustration."") — never describe it as a photograph or a cinematic film frame (avoid phrasing like ""a cinematic frame from a film""), or the effect is lost even when the sentence is in the right place. Count the words: past %hi the answer is wrong.",
b.how1x,"1. Scrivi un solo prompt in inglese, di lunghezza %s.","1. Write a single English prompt, %s long.",
b.how2,"2. Usa SOLTANTO il soggetto e gli elementi elencati sotto. Non inventare oggetti, luoghi, luci o dettagli che non compaiano in quell'elenco.","2. Use ONLY the subject and the elements listed below. Do not invent objects, places, lights or details that are not in that list.",
b.how3,3. Non lasciare fuori nessuno degli elementi elencati.,3. Leave none of the listed elements out.,
b.how3prose,"3. Non lasciare fuori nessuno degli elementi elencati, e fondi il resto in frasi scorrevoli invece di una lista separata da virgola.","3. Leave none of the listed elements out, and fuse the rest into flowing sentences rather than a comma-separated list.",
b.how4,"4. Nessuna introduzione, nessun blocco di codice, nessuna spiegazione o commento finale: solo il prompt.","4. No preamble, no code fences, no explanation or closing remarks: the prompt only.",
b.howHead,"Segui questi quattro punti nell'ordine, e verificali prima di rispondere.","Follow these four points in order, and check them before you answer.",
b.len,Lunghezza obiettivo,Target length,
b.neg,Prompt negativo,Negative prompt,
b.negNo,"non supportato, non produrne uno","not supported, do not produce one",
b.negParam,si esprime come --no in coda al prompt,expressed as --no at the end of the prompt,
b.negYes,"supportato, fornisci un campo separato","supported, give it as a separate field",
b.no,"ignorati, non usarli","ignored, do not use them",
b.none,(nessuno),(none),
b.note,Nota,Note,
b.order,Ordine consigliato degli elementi,Suggested element order,
b.qNo,"degradano l'output, non aggiungerne","they degrade the output, do not add any",
b.qYes,"utili, puoi aggiungerne","helpful, you may add some",
b.quality,"Token di qualità (8k, masterpiece)","Quality tokens (8k, masterpiece)",
b.rules,REGOLE DEL MODELLO,MODEL RULES,
b.subject,SOGGETTO E SCENA,SUBJECT AND SCENE,
b.sysHead,Sei un prompt engineer. Riscrivi la richiesta dell'utente in un unico prompt in inglese per %s.,You are a prompt engineer. Rewrite the user's request into a single English prompt for %s.,
b.translate,"Il testo del soggetto è in italiano: traducilo in inglese. Il prompt finale deve essere interamente in inglese, senza una sola parola italiana.","The subject text is in Italian: translate it into English. The final prompt must be entirely in English, with no Italian left in it.",
b.weights,Pesi tipo (word:1.2),Weights like (word:1.2),
b.yes,"onorati, usali con parsimonia","honoured, use sparingly",
brief.copyAll,Copia entrambi,Copy both,
brief.help,"L'artefatto non può parlare con un modello da solo. Questi due testi vanno dati a un LLM — in chat, oppure nei campi omonimi di un nodo come LM Studio in ComfyUI. Quello che torna indietro è il prompt finale.","The artifact cannot talk to a model on its own. Hand these two texts to an LLM — in a chat, or in the fields of the same name on a node like LM Studio in ComfyUI. What comes back is your final prompt.",
brief.sys,System prompt,System prompt,
brief.title,Briefing per LLM,Briefing for an LLM,
brief.user,User prompt,User prompt,
btn.clear,Svuota,Clear,
btn.close,Chiudi,Close,
btn.copy,Copia,Copy,
btn.db,Preferenze,Preferences,
btn.generate,Genera prompt,Generate prompt,
btn.resync,Risincronizza,Resync,
btn.translate,Traduci,Translate,
btn.translateCopy,Traduci e copia,Translate & copy,
btn.translating,Traduzione…,Translating…,
cat.blocked,non supportata da %s,not supported by %s,
cat.blockedBody,%s ignora questa categoria: i suoi termini non entrerebbero nel prompt.,%s ignores this category — its terms would never reach the prompt.,
custom.none,"Nessuna, per ora.",None yet.,
db.add,Aggiungi un termine,Add a term,
db.addBtn,Aggiungi,Add,
db.addHelp,Finisce nella categoria scelta. L'inglese è quello che entra nel prompt.,It goes into the category you pick. The English is what reaches the prompt.,
